;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905,0,0,0,3,BOX ELDER
2,30002,16.099999999999998,86.79999999999998,5.391304347826087,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.9000000000000001,66905,0,0,0,3,BOX ELDER
3,30003,15.0,61.300000000000004,4.086666666666667,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9000000000000001,51492,0,0,0,3,BOX ELDER
4,30004,3.8999999999999995,12.799999999999999,3.2820512820512824,0.0,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.19999999999999998,51492,0,0,0,3,BOX ELDER
5,30005,58.39999999999999,169.4,2.90068493150685,7.1,0.7,1.9,4.5,13.7,0.39999999999999997,0.3,1.3,0.6,0.19999999999999998,0.5,2.6,1.2,0.0,0.0,3.1999999999999997,3.3999999999999995,68948,0,0,0,3,BOX ELDER
6,30006,6.1000000000000005,19.2,3.147540983606557,4.3999999999999995,0.0,4.3999999999999995,0.0,5.299999999999999,0.0,0.0,0.0,4.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,51492,0,0,0,3,BOX ELDER
7,30007,44.0,123.70000000000002,2.811363636363637,51.4,4.6,26.3,20.5,139.39999999999998,2.8999999999999995,1.6999999999999997,7.1000000000000005,19.2,1.2,3.0,2.3000000000000003,14.0,84.89999999999999,0.0,0.6,2.5,51492,0,0,0,3,BOX ELDER
8,30008,46.199999999999996,147.29999999999998,3.188311688311688,43.7,11.000000000000002,0.7,32.0,48.30000000000001,10.900000000000002,0.09999999999999999,0.5,0.19999999999999998,29.400000000000002,0.19999999999999998,0.19999999999999998,2.1999999999999997,0.0,0.0,1.9000000000000001,2.6999999999999997,71055,0,0,0,3,BOX ELDER
9,30009,23.199999999999996,27.800000000000004,1.198275862068966,65.39999999999999,2.0,56.199999999999996,7.2,71.89999999999999,1.0999999999999999,0.9000000000000001,4.0,52.199999999999996,0.6,1.6999999999999997,1.3,3.6000000000000005,0.0,0.0,5.2,1.3,51492,0,0,0,3,BOX ELDER
10,30010,17.900000000000002,58.300000000000004,3.2569832402234637,52.60000000000001,0.0,52.60000000000001,0.0,54.20000000000001,0.0,0.0,0.0,52.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,51492,0,0,0,3,BOX ELDER
11,30011,5.3999999999999995,15.799999999999999,2.925925925925926,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,71342,0,0,0,3,BOX ELDER
12,30012,16.3,55.10000000000001,3.3803680981595097,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.9000000000000001,71342,0,0,0,3,BOX ELDER
13,30013,5.5,15.799999999999999,2.8727272727272726,0.0,0.0,0.0,0.0,3.4999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999997,0.3,71342,0,0,0,3,BOX ELDER
14,30014,5.8999999999999995,17.0,2.88135593220339,0.0,0.0,0.0,0.0,6.099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799999999999999,0.3,71342,0,0,0,3,BOX ELDER
15,30015,1.0,2.8000000000000003,2.8000000000000003,284.8,14.099999999999998,214.10000000000002,56.599999999999994,306.1,7.799999999999999,6.299999999999999,117.70000000000002,96.39999999999999,4.3999999999999995,11.700000000000001,8.9,31.599999999999998,19.3,0.0,1.9000000000000001,0.09999999999999999,66905,0,0,0,3,BOX ELDER
16,30016,12.799999999999999,36.9,2.8828125,67.0,0.0,42.699999999999996,24.300000000000004,85.10000000000001,0.0,0.0,0.5,42.199999999999996,0.0,0.0,0.0,24.300000000000004,0.0,0.0,17.400000000000002,0.7000000000000001,68948,0,0,0,3,BOX ELDER
17,30017,10.5,57.300000000000004,5.457142857142857,0.0,0.0,0.0,0.0,17.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.6,71342,0,0,0,3,BOX ELDER
18,30018,0.0,0.0,0.0,744.0000000000001,33.0,594.5000000000001,116.5,747.9,18.2,14.799999999999999,446.80000000000007,147.70000000000002,10.299999999999999,27.300000000000004,20.900000000000002,58.0,0.0,0.0,3.8999999999999995,0.0,71342,0,0,0,3,BOX ELDER
19,30019,178.0,611.8000000000001,3.4370786516853937,43.0,14.1,16.1,12.8,64.2,12.5,1.5999999999999999,7.0,9.1,1.0999999999999999,3.0,2.3000000000000003,6.3999999999999995,0.0,0.0,11.0,10.200000000000001,68948,0,0,0,3,BOX ELDER
